Date,AMZN
9/30/2022,113
10/3/2022,115.88
10/4/2022,121.09
10/5/2022,120.95
10/6/2022,120.3
10/7/2022,114.56
10/10/2022,113.67
10/11/2022,112.21
10/12/2022,112.9
10/13/2022,112.53
10/14/2022,106.9
10/17/2022,113.79
10/18/2022,116.36
10/19/2022,115.07
10/20/2022,115.25
10/21/2022,119.32
10/24/2022,119.82
10/25/2022,120.6
10/26/2022,115.66
10/27/2022,110.96
10/28/2022,103.41
10/31/2022,102.44
11/1/2022,96.79
11/2/2022,92.12
11/3/2022,89.3
11/4/2022,90.98
11/7/2022,90.53
11/8/2022,89.98
11/9/2022,86.14
11/10/2022,96.63
11/11/2022,100.79
11/14/2022,98.49
11/15/2022,98.94
11/16/2022,97.12
11/17/2022,94.85
11/18/2022,94.14
11/21/2022,92.46
11/22/2022,93.2
11/23/2022,94.13
11/25/2022,93.41
11/28/2022,93.95
11/29/2022,92.42
11/30/2022,96.54
12/1/2022,95.5
12/2/2022,94.13
12/5/2022,91.01
12/6/2022,88.25
12/7/2022,88.46
12/8/2022,90.35
12/9/2022,89.09
12/12/2022,90.55
12/13/2022,92.49
12/14/2022,91.58
12/15/2022,88.45
12/16/2022,87.86
12/19/2022,84.92
12/20/2022,85.19
12/21/2022,86.77
12/22/2022,83.79
12/23/2022,85.25
12/27/2022,83.04
12/28/2022,81.82
12/29/2022,84.18
12/30/2022,84
1/3/2023,85.82
1/4/2023,85.14
1/5/2023,83.12
1/6/2023,86.08
1/9/2023,87.36
1/10/2023,89.87
1/11/2023,95.09
1/12/2023,95.27
1/13/2023,98.12
1/17/2023,96.05
1/18/2023,95.46
1/19/2023,93.68
1/20/2023,97.25
1/23/2023,97.52
1/24/2023,96.32
1/25/2023,97.18
1/26/2023,99.22
1/27/2023,102.24
1/30/2023,100.55
1/31/2023,103.13
2/1/2023,105.15
2/2/2023,112.91
2/3/2023,103.39
2/6/2023,102.18
2/7/2023,102.11
2/8/2023,100.05
2/9/2023,98.24
2/10/2023,97.61
2/13/2023,99.54
2/14/2023,99.7
2/15/2023,101.16
2/16/2023,98.15
2/17/2023,97.2
2/21/2023,94.58
2/22/2023,95.79
2/23/2023,95.82
2/24/2023,93.5
2/27/2023,93.76
2/28/2023,94.23
3/1/2023,92.17
3/2/2023,92.13
3/3/2023,94.9
3/6/2023,93.75
3/7/2023,93.55
3/8/2023,93.92
3/9/2023,92.25
3/10/2023,90.73
3/13/2023,92.43
3/14/2023,94.88
3/15/2023,96.2
3/16/2023,100.04
3/17/2023,98.95
3/20/2023,97.71
3/21/2023,100.61
3/22/2023,98.7
3/23/2023,98.71
3/24/2023,98.13
3/27/2023,98.04
3/28/2023,97.24
3/29/2023,100.25
3/30/2023,102
3/31/2023,103.29
4/3/2023,102.41
4/4/2023,103.95
4/5/2023,101.1
4/6/2023,102.06
4/10/2023,102.17
4/11/2023,99.92
4/12/2023,97.83
4/13/2023,102.4
4/14/2023,102.51
4/17/2023,102.74
4/18/2023,102.3
4/19/2023,104.3
4/20/2023,103.81
4/21/2023,106.96
4/24/2023,106.21
4/25/2023,102.57
4/26/2023,104.98
4/27/2023,109.82
4/28/2023,105.45
5/1/2023,102.05
5/2/2023,103.63
5/3/2023,103.65
5/4/2023,104
5/5/2023,105.655
5/8/2023,105.83
5/9/2023,106.62
5/10/2023,110.19
5/11/2023,112.18
5/12/2023,110.26
5/15/2023,111.2
5/16/2023,113.4
5/17/2023,115.5
5/18/2023,118.15
5/19/2023,116.25
5/22/2023,115.01
5/23/2023,114.99
5/24/2023,116.75
5/25/2023,115
5/26/2023,120.11
5/30/2023,121.66
5/31/2023,120.58
6/1/2023,122.77
6/2/2023,124.25
6/5/2023,125.3
6/6/2023,126.61
6/7/2023,121.23
6/8/2023,124.25
6/9/2023,123.43
6/12/2023,126.57
6/13/2023,126.66
6/14/2023,126.42
6/15/2023,127.11
6/16/2023,125.49
6/20/2023,125.78
6/21/2023,124.83
6/22/2023,130.15
6/23/2023,129.33
6/26/2023,127.33
6/27/2023,129.18
6/28/2023,129.04
6/29/2023,127.9
6/30/2023,130.36
7/3/2023,130.22
7/5/2023,130.38
7/6/2023,128.36
7/7/2023,129.78
7/10/2023,127.13
7/11/2023,128.78
7/12/2023,130.8
7/13/2023,134.3
7/14/2023,134.68
7/17/2023,133.56
7/18/2023,132.83
7/19/2023,135.36
7/20/2023,129.96
7/21/2023,130
7/24/2023,128.8
7/25/2023,129.13
7/26/2023,128.15
7/27/2023,128.25
7/28/2023,132.21
7/31/2023,133.68
8/1/2023,131.69
8/2/2023,128.21
8/3/2023,128.91
8/4/2023,139.57
8/7/2023,142.22
8/8/2023,139.94
8/9/2023,137.85
8/10/2023,138.56
8/11/2023,138.41
8/14/2023,140.57
8/15/2023,137.67
8/16/2023,135.07
8/17/2023,133.98
8/18/2023,133.22
8/21/2023,134.68
8/22/2023,134.25
8/23/2023,135.52
8/24/2023,131.84
8/25/2023,133.26
8/28/2023,133.14
8/29/2023,134.91
8/30/2023,135.07
8/31/2023,138.01
9/1/2023,138.12
9/5/2023,137.27
9/6/2023,135.36
9/7/2023,137.85
9/8/2023,138.23
9/11/2023,143.1
9/12/2023,141.23
9/13/2023,144.85
9/14/2023,144.72
9/15/2023,140.39
9/18/2023,139.98
9/19/2023,137.63
9/20/2023,135.29
9/21/2023,129.33
9/22/2023,129.12
9/25/2023,131.27
9/26/2023,125.98
9/27/2023,125.98
9/28/2023,125.98
9/29/2023,127.12
10/2/2023,129.46
10/3/2023,124.72
10/4/2023,127
10/5/2023,125.96
10/6/2023,127.96
10/9/2023,128.26
10/10/2023,129.48
10/11/2023,131.83
10/12/2023,132.33
10/13/2023,129.79
10/16/2023,132.55
10/17/2023,131.47
10/18/2023,128.13
10/19/2023,128.4
10/20/2023,125.17
10/23/2023,126.56
10/24/2023,128.56
10/25/2023,121.39
10/26/2023,119.57
10/27/2023,127.74
10/30/2023,132.71
10/31/2023,133.09
11/1/2023,137
11/2/2023,138.07
11/3/2023,138.6
11/6/2023,139.74
11/7/2023,142.71
11/8/2023,142.08
11/9/2023,140.6
11/10/2023,143.56
11/13/2023,142.59
11/14/2023,145.8
11/15/2023,143.2
11/16/2023,142.83
11/17/2023,145.18
11/20/2023,146.13
11/21/2023,143.9
11/22/2023,146.71
11/24/2023,146.74
11/27/2023,147.73
11/28/2023,147.03
11/29/2023,146.32
11/30/2023,146.09
12/1/2023,147.03
12/4/2023,144.84
12/5/2023,146.88
12/6/2023,144.52
12/7/2023,146.88
12/8/2023,147.42
12/11/2023,145.89
12/12/2023,147.48
12/13/2023,148.84
12/14/2023,147.42
12/15/2023,149.97
12/18/2023,154.07
12/19/2023,153.79
12/20/2023,152.12
12/21/2023,153.84
12/22/2023,153.42
12/26/2023,153.41
12/27/2023,153.34
12/28/2023,153.38
12/29/2023,151.94
